malleable_count,strategic_count,balanced_count,confident_count,static_count,winner_type,final_price,round_count,winner_valuation,efficiency
0,0,0,0,20,static/inflex,1240,37,1377.3851682747968,240
0,0,0,1,19,static/inflex,1200,35,1255.2273783694586,200
0,0,0,2,18,static/inflex,1380,44,1391.1758497046267,380
0,0,0,3,17,static/inflex,1220,36,1277.9997364287717,220
0,0,0,4,16,static/inflex,1180,34,1292.995408532955,180
0,0,0,5,15,static/inflex,1240,37,1255.9750016126209,240
0,0,0,6,14,static/inflex,1200,35,1214.336782839575,200
0,0,0,7,13,static/inflex,1220,36,1298.052228923725,220
0,0,0,8,12,static/inflex,1180,34,1175.1600306931282,180
0,0,0,9,11,static/inflex,1240,37,1266.6540887098486,240
0,0,0,10,10,confident,1240,37,1228.0807903045936,240
0,0,0,11,9,static/inflex,1160,33,1160.5840207403598,160
0,0,0,12,8,static/inflex,1120,31,1236.9518643310294,120
0,0,0,13,7,confident,1220,36,1228.3769477188018,220
0,0,0,14,6,static/inflex,1200,35,1346.8916260215226,200
0,0,0,15,5,confident,1180,34,1238.2553782123184,180
0,0,0,16,4,confident,1220,36,1213.8376782100286,220
0,0,0,17,3,confident,1240,37,1283.128072504819,240
0,0,0,18,2,confident,1140,32,1192.092252901699,140
0,0,0,19,1,confident,1200,35,1202.5987155751245,200
0,0,0,20,0,confident,1140,32,1157.3009258187924,140
0,0,1,0,19,static/inflex,1360,43,1368.5680827762997,360
0,0,1,1,18,static/inflex,1160,33,1338.8056555406297,160
0,0,1,2,17,static/inflex,1220,36,1275.7726371597773,220
0,0,1,3,16,static/inflex,1300,40,1302.1311730213267,300
0,0,1,4,15,static/inflex,1280,39,1292.0352305295378,280
0,0,1,5,14,static/inflex,1320,41,1315.2826831144844,320
0,0,1,6,13,static/inflex,1280,39,1320.6905597368445,280
0,0,1,7,12,static/inflex,1140,32,1273.4003097043137,140
0,0,1,8,11,confident,1200,35,1293.4696674737854,200
0,0,1,9,10,static/inflex,1200,35,1284.488711982946,200
0,0,1,10,9,static/inflex,1260,38,1311.4054702641834,260
0,0,1,11,8,static/inflex,1220,36,1221.9924282901568,220
0,0,1,12,7,confident,1140,32,1128.1897795824773,140
0,0,1,13,6,static/inflex,1100,30,1152.0292495836648,100
0,0,1,14,5,confident,1160,33,1147.075332651799,160
0,0,1,15,4,confident,1040,27,1088.4319870053819,40
0,0,1,16,3,confident,1180,34,1185.097609093605,180
0,0,1,17,2,confident,1100,30,1106.34364416591,100
0,0,1,18,1,static/inflex,1100,30,1155.7848503121108,100
0,0,1,19,0,confident,1220,36,1240.917911379364,220
0,0,2,0,18,static/inflex,1300,40,1293.7764341090187,300
0,0,2,1,17,static/inflex,1200,35,1214.0948999879888,200
0,0,2,2,16,static/inflex,1160,33,1212.3348986929018,160
0,0,2,3,15,static/inflex,1280,39,1270.9427496949706,280
0,0,2,4,14,static/inflex,1180,34,1420.2328187166315,180
0,0,2,5,13,balanced,1240,37,1228.0213746879842,240
0,0,2,6,12,confident,1180,34,1253.093520914839,180
0,0,2,7,11,static/inflex,1160,33,1236.839994340612,160
0,0,2,8,10,static/inflex,1200,35,1211.4493031529903,200
0,0,2,9,9,static/inflex,1120,31,1214.5359842818627,120
0,0,2,10,8,confident,1160,33,1201.0911344889664,160
0,0,2,11,7,confident,1340,42,1341.479576120145,340
0,0,2,12,6,static/inflex,1060,28,1283.4234790994446,60
0,0,2,13,5,confident,1040,27,1103.057370423624,40
0,0,2,14,4,static/inflex,1080,29,1180.5399956640501,80
0,0,2,15,3,confident,1200,35,1202.5088037405756,200
0,0,2,16,2,static/inflex,1220,36,1257.5764430106271,220
0,0,2,17,1,confident,1120,31,1148.078880549436,120
0,0,2,18,0,confident,1040,27,1049.4640622761774,40
0,0,3,0,17,static/inflex,1240,37,1285.9009068165094,240
0,0,3,1,16,static/inflex,1260,38,1338.4211973824124,260
0,0,3,2,15,static/inflex,1180,34,1226.550966280223,180
0,0,3,3,14,static/inflex,1280,39,1267.0616653418385,280
0,0,3,4,13,static/inflex,1160,33,1170.6200036206224,160
0,0,3,5,12,static/inflex,1160,33,1334.1676553412715,160
0,0,3,6,11,static/inflex,1180,34,1216.907334158168,180
0,0,3,7,10,static/inflex,1320,41,1344.335127510087,320
0,0,3,8,9,static/inflex,1180,34,1221.3379959623476,180
0,0,3,9,8,confident,1140,32,1233.9554473812448,140
0,0,3,10,7,static/inflex,1160,33,1210.0663566374337,160
0,0,3,11,6,static/inflex,1180,34,1190.0194118452582,180
0,0,3,12,5,balanced,1100,30,1102.5446446283436,100
0,0,3,13,4,confident,1120,31,1265.1839338549391,120
0,0,3,14,3,static/inflex,1140,32,1208.6956431388808,140
0,0,3,15,2,confident,1140,32,1163.4898886867381,140
0,0,3,16,1,confident,1080,29,1079.4850468500265,80
0,0,3,17,0,confident,1100,30,1097.9296330968843,100
0,0,4,0,16,static/inflex,1180,34,1218.34971681029,180
0,0,4,1,15,static/inflex,1220,36,1267.676374543527,220
0,0,4,2,14,confident,1180,34,1171.3206942332808,180
0,0,4,3,13,static/inflex,1300,40,1379.8157183451558,300
0,0,4,4,12,static/inflex,1120,31,1182.7159556210524,120
0,0,4,5,11,static/inflex,1040,27,1159.5401653475762,40
0,0,4,6,10,static/inflex,1180,34,1172.2512338560862,180
0,0,4,7,9,static/inflex,1260,38,1303.1670557902655,260
0,0,4,8,8,static/inflex,1140,32,1210.5319344667698,140
0,0,4,9,7,static/inflex,1300,40,1334.28790602952,300
0,0,4,10,6,static/inflex,1100,30,1194.2019703672015,100
0,0,4,11,5,confident,1120,31,1189.667026730069,120
0,0,4,12,4,confident,1100,30,1101.307514312758,100
0,0,4,13,3,confident,1220,36,1224.7586026432016,220
0,0,4,14,2,confident,1160,33,1177.730826824202,160
0,0,4,15,1,confident,1140,32,1160.810480713525,140
0,0,4,16,0,balanced,1140,32,1154.0507903259527,140
0,0,5,0,15,static/inflex,1200,35,1234.4874119004141,200
0,0,5,1,14,static/inflex,1180,34,1210.4365364471826,180
0,0,5,2,13,static/inflex,1400,45,1401.0025390149199,400
0,0,5,3,12,confident,1260,38,1253.624104823664,260
0,0,5,4,11,static/inflex,1260,38,1316.5670017009706,260
0,0,5,5,10,static/inflex,1160,33,1182.6490896116754,160
0,0,5,6,9,static/inflex,1100,30,1214.77735670303,100
0,0,5,7,8,static/inflex,1220,36,1240.456557452257,220
0,0,5,8,7,static/inflex,1100,30,1190.1034020128911,100
0,0,5,9,6,static/inflex,1320,41,1324.5872462992518,320
0,0,5,10,5,static/inflex,1220,36,1206.9178125447538,220
0,0,5,11,4,static/inflex,1200,35,1305.495294206776,200
0,0,5,12,3,static/inflex,1200,35,1318.897363204408,200
0,0,5,13,2,confident,1200,35,1222.7114650831236,200
0,0,5,14,1,confident,1080,29,1095.9493627152526,80
0,0,5,15,0,confident,1100,30,1193.513382400037,100
0,0,6,0,14,static/inflex,1320,41,1343.1917346482908,320
0,0,6,1,13,static/inflex,1120,31,1162.0997669748826,120
0,0,6,2,12,static/inflex,1280,39,1291.7426824504237,280
0,0,6,3,11,static/inflex,1220,36,1364.3483818284521,220
0,0,6,4,10,confident,1160,33,1202.3038438666604,160
0,0,6,5,9,static/inflex,1220,36,1430.4479394807174,220
0,0,6,6,8,confident,1180,34,1276.3508030513879,180
0,0,6,7,7,confident,1140,32,1174.4175316570818,140
0,0,6,8,6,confident,1140,32,1203.9276249315758,140
0,0,6,9,5,confident,1200,35,1229.6876976041372,200
0,0,6,10,4,static/inflex,1040,27,1256.1331798309518,40
0,0,6,11,3,balanced,1080,29,1132.8689047785313,80
0,0,6,12,2,confident,1060,28,1143.5920036510963,60
0,0,6,13,1,confident,1060,28,1073.4444064798413,60
0,0,6,14,0,confident,1040,27,1049.8845810965852,40
0,0,7,0,13,static/inflex,1200,35,1292.961212428495,200
0,0,7,1,12,static/inflex,1200,35,1208.4292181503852,200
0,0,7,2,11,static/inflex,1160,33,1275.4204995751738,160
0,0,7,3,10,static/inflex,1200,35,1415.4787055076486,200
0,0,7,4,9,static/inflex,1300,40,1421.6830122929928,300
0,0,7,5,8,static/inflex,1160,33,1164.1934366915043,160
0,0,7,6,7,static/inflex,1160,33,1305.0780728535683,160
0,0,7,7,6,static/inflex,1180,34,1253.9584040140107,180
0,0,7,8,5,confident,1200,35,1204.360758225277,200
0,0,7,9,4,static/inflex,1180,34,1223.4566068377367,180
0,0,7,10,3,balanced,1140,32,1127.737595953397,140
0,0,7,11,2,static/inflex,1160,33,1265.143022514242,160
0,0,7,12,1,confident,1120,31,1182.3421213077606,120
0,0,7,13,0,balanced,1200,35,1242.5776546029033,200
0,0,8,0,12,static/inflex,1160,33,1374.6733201476097,160
0,0,8,1,11,static/inflex,1200,35,1192.7866396365412,200
0,0,8,2,10,static/inflex,1220,36,1469.6786750848432,220
0,0,8,3,9,static/inflex,1140,32,1167.4912259886653,140
0,0,8,4,8,static/inflex,1280,39,1288.0627376406555,280
0,0,8,5,7,static/inflex,1180,34,1165.588844552575,180
0,0,8,6,6,static/inflex,1140,32,1225.0432820538815,140
0,0,8,7,5,static/inflex,1120,31,1323.005301578562,120
0,0,8,8,4,confident,1120,31,1162.1126037226313,120
0,0,8,9,3,static/inflex,1160,33,1187.202001146121,160
0,0,8,10,2,confident,1140,32,1151.2489718522938,140
0,0,8,11,1,confident,1160,33,1186.1541940077898,160
0,0,8,12,0,confident,1160,33,1177.862964631864,160
0,0,9,0,11,balanced,1240,37,1246.6464224918354,240
0,0,9,1,10,static/inflex,1340,42,1345.4899502269486,340
0,0,9,2,9,static/inflex,1280,39,1350.7595566056602,280
0,0,9,3,8,static/inflex,1180,34,1218.7290775895096,180
0,0,9,4,7,static/inflex,1240,37,1365.057045905552,240
0,0,9,5,6,static/inflex,1160,33,1239.2573832493597,160
0,0,9,6,5,static/inflex,1160,33,1177.1852084776626,160
0,0,9,7,4,balanced,1140,32,1227.8284227392246,140
0,0,9,8,3,confident,1160,33,1180.5536415972824,160
0,0,9,9,2,static/inflex,1180,34,1184.1069602852963,180
0,0,9,10,1,static/inflex,1060,28,1151.63618794663,60
0,0,9,11,0,balanced,1080,29,1072.1670280196188,80
0,0,10,0,10,static/inflex,1100,30,1168.0582348811758,100
0,0,10,1,9,static/inflex,1140,32,1249.6153063584686,140
0,0,10,2,8,static/inflex,1180,34,1179.881051690859,180
0,0,10,3,7,confident,1160,33,1161.0469245020906,160
0,0,10,4,6,confident,1140,32,1193.1173075245601,140
0,0,10,5,5,static/inflex,1160,33,1346.409123521974,160
0,0,10,6,4,static/inflex,1100,30,1120.9484617885062,100
0,0,10,7,3,static/inflex,1160,33,1157.551243233148,160
0,0,10,8,2,static/inflex,1140,32,1183.4549552344108,140
0,0,10,9,1,confident,1100,30,1103.1404934655648,100
0,0,10,10,0,confident,1220,36,1209.9569637462487,220
0,0,11,0,9,balanced,1180,34,1205.8092775132855,180
0,0,11,1,8,static/inflex,1220,36,1314.3139940975188,220
0,0,11,2,7,static/inflex,1120,31,1147.4452225943096,120
0,0,11,3,6,static/inflex,1180,34,1233.1660752959822,180
0,0,11,4,5,balanced,1080,29,1095.8583605931785,80
0,0,11,5,4,static/inflex,1140,32,1209.804466681601,140
0,0,11,6,3,static/inflex,1240,37,1231.151167677915,240
0,0,11,7,2,balanced,1260,38,1254.2539676069644,260
0,0,11,8,1,balanced,1140,32,1148.9215260186584,140
0,0,11,9,0,confident,1180,34,1196.2026580262257,180
0,0,12,0,8,static/inflex,1100,30,1148.7693405578902,100
0,0,12,1,7,static/inflex,1180,34,1195.2616582053738,180
0,0,12,2,6,static/inflex,1160,33,1182.2086820082932,160
0,0,12,3,5,confident,1140,32,1164.0951914329366,140
0,0,12,4,4,balanced,1260,38,1257.7281932681433,260
0,0,12,5,3,confident,1060,28,1127.5800288186913,60
0,0,12,6,2,static/inflex,1140,32,1140.2674713411554,140
0,0,12,7,1,confident,1100,30,1141.854098834307,100
0,0,12,8,0,confident,1200,35,1225.7129346825182,200
0,0,13,0,7,static/inflex,1140,32,1209.5496783377812,140
0,0,13,1,6,static/inflex,1120,31,1190.8548156550823,120
0,0,13,2,5,static/inflex,1100,30,1124.8205497052427,100
0,0,13,3,4,static/inflex,1060,28,1237.1218303094138,60
0,0,13,4,3,balanced,1180,34,1175.6623182802416,180
0,0,13,5,2,confident,1120,31,1130.790194019844,120
0,0,13,6,1,confident,1200,35,1212.3695109274122,200
0,0,13,7,0,confident,1080,29,1242.9872596783637,80
0,0,14,0,6,static/inflex,1140,32,1157.273462601449,140
0,0,14,1,5,balanced,1120,31,1121.7146722312934,120
0,0,14,2,4,balanced,1120,31,1140.7515845883686,120
0,0,14,3,3,static/inflex,1120,31,1131.0307084285855,120
0,0,14,4,2,balanced,1080,29,1136.2075559664595,80
0,0,14,5,1,confident,1220,36,1264.218741979915,220
0,0,14,6,0,confident,1120,31,1124.126383017318,120
0,0,15,0,5,static/inflex,1140,32,1159.0561188237464,140
0,0,15,1,4,static/inflex,1160,33,1312.8672320645458,160
0,0,15,2,3,confident,1080,29,1086.6995812261614,80
0,0,15,3,2,balanced,1140,32,1139.5920038141562,140
0,0,15,4,1,confident,1280,39,1267.6937032085896,280
0,0,15,5,0,balanced,1120,31,1136.6828663414271,120
0,0,16,0,4,balanced,1080,29,1107.623583246746,80
0,0,16,1,3,static/inflex,1160,33,1195.8351326433099,160
0,0,16,2,2,confident,1040,27,1041.8401155694987,40
0,0,16,3,1,balanced,1020,26,1038.4145525727324,20
